sort, nth_element, max_element, max_element_ben_deane, accumulate, transform_reduce
6300.37,6454.04,14724.2,12258.2,5273.42,10534.5
5786.34,5726.03,18716.8,12253.3,5440.8,10904.4
5099.7,7135.76,13793.8,12401.4,5195.99,10824.6
4930.49,5040.47,13538,12203.1,5155.48,11223.2
4872.62,5536.76,17838.7,12180.7,5431.32,11431.1
4795.73,6513.59,19347.2,12975.3,5421.57,11049.7
4780.44,5858.98,13312,12527.7,5204.72,10526.1
4809.67,3542.43,12561.4,17142.7,5626.45,10559.3
4607.55,1731.79,13114.3,12401.2,4810.64,10567
4743.87,3984.72,13321,12226.7,5696.84,10357.1
4981,4176.02,15105.1,12341.2,5450,10705.2
4527.03,6675.99,12353.1,12389.6,5328.48,11769
4585.21,6207.75,14589.5,12292.3,5601.06,12017.7
4669.26,4188.56,16938.5,12438.9,5313.8,10795.8
4696.52,3758.18,13770.1,12002.2,5366.78,11238.7
5786.36,6910.02,12466.8,16655.1,4969.47,10566.8
4835.09,5014.55,15039.9,12279.6,5501.66,11270.6
4866.72,4741.15,13125.4,12294.6,5161.68,10607.3
4883.04,3332.89,13847.9,12270.6,5493.78,10878.1
4889.02,5992.54,13520.7,12458.8,5293.27,10668.1
5035.55,4828.7,13424.6,12241.2,5409.17,11195.8
4925.27,7245.1,17266,12995.8,5470.38,10702.9
5031.51,4084.82,13718.7,12912.4,5716.16,10824.9
4996.43,4449.35,12267,16842.8,5145.5,10882.2
4951.91,3718.42,14041,13314.6,5237.17,10836.7
5024.44,5661.25,14502.7,13424.1,5395.53,10884.9
4997.85,5785.3,12659.7,12325.8,5498.88,10834.2
5053.91,6383.49,14497,12360.9,5479.29,11066.3
5158.97,4969.5,14160.2,12233.9,5514.97,11044.4
5127.15,7502.94,18785.9,12480.1,5899.11,10615.3
8328.49,7858.21,12781.5,12124.8,5018.26,10966.4
4835.81,8008.35,14125.3,16710.1,5347.4,11117.1
4334.09,4950.38,13167.9,12202.9,5490.03,10897.4
4418.92,4995.66,14312.5,12357.8,5214.64,11500.1
4517.36,5581.96,14722.9,12147.9,5150.16,10897
4561.18,3796.82,14606.9,12269.8,4870.61,10969.3
4547.78,3836.48,23942.7,12575,5534.1,10923.7
4629.21,4900.88,18070.5,12209.5,5058.81,11138.6
4639.46,4225.15,17602.7,12411.1,5206.45,10818.6
4614.02,3951.03,14186.6,20259.2,5400.18,11070.3
4702.6,2961.22,14589.3,12165.4,5831.16,10948.8
4677.58,6306.81,14732.9,12375.2,5077.41,11722.2
4763.86,6582.43,17430.1,12256.8,5479.35,10962.3
4761.38,5144.07,14228.3,12356.8,5293.37,10844.6
4714.67,5691.48,12699.9,12258,5388.48,10826.2
4718.27,5066.7,13123.9,12232.8,5432.21,11032
4730.87,6103.4,14737.4,12283.5,5436.41,11011.1
4824.53,7710.16,13377.4,16016,5389.93,10844.6
4796.76,5015.06,14213.5,12401.2,5383.16,10903.7
4714.38,6355.87,13826.4,12436.3,5289.74,10712.7
4883.69,7112.75,18217,12400.6,5363.92,11115.3
4737.76,2525.89,13891.1,12156,5508.02,11120.8
4825.87,2211.13,17089.3,12412.1,5471.88,11159.4
4910.62,7927.09,13868.4,12066.4,5416.49,11008.5
4620.83,5773.34,14038.9,13319.8,5580.43,11080.7
4714.83,1897.78,14430.1,16502.5,5032.73,11145.6
5024.85,5819.41,14844.8,12239.5,8810.32,11030.8
5041.59,5753.83,13810.9,12536.1,5415.49,11046.4
5040.34,1473.72,18748.7,12403.8,5460.7,10870.3
5154.68,9189.24,13068.6,13161.5,5496.7,10967
5035.02,5778.8,13107.2,12197.3,5468.4,11279.1
5094.31,4417.6,13874.3,12161.4,5477.86,11279.1
5074.41,5567.5,12608.2,12455.2,5393.49,11365
5125.46,855.343,13623.6,17000.8,5618.06,10893.6
5092.25,4148.6,12455.7,12330.6,4846.47,11525.1
5088.67,6550.11,14179.4,12424.2,5513.09,10894.3
5246.34,4288.92,19058,12186.4,5497.41,10842.8
5088.46,3319.77,14181.2,12878.4,4888.73,10899.3
5087.49,6823.69,12846.6,12299.4,5495.25,11122.6
5247.68,4744.61,13360.3,12395.1,5127.63,11128.9
5038.91,6034.93,13490.9,12086,5404.6,11022.8
5196.31,4885.53,14657.5,16514.2,5537.18,11163.9
7440.32,4500.27,12718.8,12397.8,5505.49,11022.5
4587.8,7424.99,14301,12242.2,5444.22,11199.7
5892.09,4122.25,19504.5,12570.3,5184.94,10912.7
6223.36,6428.9,12564.5,13663.1,5168.41,11166.9
5705.91,5348.34,13621.7,12166.4,5282.9,11283
5439.37,2459.99,12806.4,12275,5192.4,11452.9
5442.55,4391.44,14125.5,12344.4,5411.78,10856
5385.3,5791.16,15011.8,16404.1,5567.08,11400
5274.92,3170.06,14058.8,12236.4,5435.06,10480.5
5116.32,7008.85,13875.2,13127.7,5537.67,11125.8
5139.19,6664.22,16973.1,11961.2,5328.61,11175.6
5311.85,3701.59,14160.8,12959.6,5345.22,10955
5220.03,4924.26,14455,12282,5428.08,10961.7
5302.74,2551.02,13273.6,12224,5473.49,10977.9
5312.66,7516.99,14446.2,12420.4,5635.54,11070.7
5263.61,7333.49,12960,16563,5322.65,10975.3
5287.49,3260.2,13639.9,12542.5,5231.34,11310.4
5436.86,5365.19,12391.2,12320.8,5402.73,10594.4
5495.67,3866.18,18502,13053.1,5003.68,10889.6
5371.67,3934.75,15908,12515.6,5426.17,10989.4
5673.01,4776.76,13720.1,12506,4836.74,11448.6
5464.05,5649.75,14888.1,12376.1,5095.29,11530
5262.9,7809.03,13349.6,12462.1,5079.13,10476.7
5294.96,3106.32,14863.9,16542.5,5425.63,11112.3
5254.57,3930.96,15011.7,12133.6,5154.37,11104
5385,4230.47,13831.7,12320.9,5437.03,11111.5
5253.25,7549.1,19238.5,12220.9,5265.1,10997.1
5219.68,5825.62,13341.3,12983.8,5386.53,11501.8
5459.8,4449.78,15239.4,12404.2,5441.92,11017.2
5291.83,3123.66,13433.2,12281.6,5478.45,11414.7
5312.95,6930.25,12435.8,12682.6,5452.77,11213.2
5219.33,6725.59,12454.7,16276.8,5602.55,10620.3
5458.06,7731.14,14442.1,12351.7,5066.22,11069.1
5073.98,2487.75,13705.8,12280.4,5096.07,10492.6
4805.16,7758.8,18043.3,12261.8,4814.64,11068.4
4537.7,8174.34,13175.6,12427.3,5065.85,11146.2
4689.91,2438.66,15160.9,12326.6,5068.14,10761.6
4567.68,5030.43,14849.6,12252.9,5172.03,10356.6
4954.44,7741.27,14482.8,12292.9,4953,11220.9
4845.05,4644.55,13981.9,16690.5,5110.32,10904.4
4735.78,7485.89,14062.8,12533,5580.69,10910.2
4775.45,4007.64,14248.8,12495.3,5535.26,11080.7
4834.51,5021.28,16975.7,17946.9,5293.24,11138.2
4917.24,4561.55,12972.1,12287.7,5208.98,11478.1
5122.85,3669.82,13641.4,12046.3,5393.47,11388.3
4982.8,4351.55,13728.1,12367.4,5416.77,11042.5
5163.77,3853.26,13660.5,15076,5407,11142.5
5150.76,5058.36,14716.6,16532.9,5241.9,10408
5098.61,3920.24,14792.9,12531.3,4877.33,10465.5
4990.04,2941.14,12959.4,12245,5216.53,11092
4914.75,3426.23,17181.3,12153,4969.27,11447
4728.87,4673.63,14563.9,12487.4,5471.34,11778.5
4661.23,4026.75,13365.8,12656.1,5307.49,10345.9
4550.94,6350.08,13085.8,12227.2,4992.03,11393.1
4578.66,7062.33,14649.6,12494.3,5379.18,11460.3
4686.29,8064.85,15003.2,16599,5611.13,11415.8
4586.63,3902.81,13980.7,12185.4,5339.71,10986.7
4540.7,6092.35,13613.3,12384,5309.69,11007.7
4813.07,5565.63,17076.3,12430,5023.06,11111.8
4682.23,6194.94,14849.5,12309.8,5092.8,11274.1
4741.57,4862.45,13185.9,12938.5,5121.86,11549
4736.69,2810.81,14159,12142,9442.91,11002.5
4738.84,3494.39,14391.3,12527.2,5533.23,11426.6
4773.12,3608.47,15237.7,16566.5,5387.33,10879.2
4711.53,3410.28,15051.3,12361.6,5219.82,11113.5
4776.46,7140.9,13868,12363.6,5395.9,11274.4
4779,6747.59,17302.6,12298.6,5297.09,10941.5
4781.87,2658.49,13011.7,12054.7,5294.39,11372.6
4793.88,2704.67,13692.3,12500.2,5458.87,10825.7
5029.69,2061.86,14309.6,12435.8,5375.48,10898.1
